police_station,folder,hobli_count,village_count,ward_count
M.K. Doddi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\M.K._Doddi_PS,3,57,0
Magadi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Magadi_PS,5,170,23
Ramanagara Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Ramanagara_Rural_PS,16,141,10
Ramanagara Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Ramanagara_Town_PS,3,12,26
Sathanuru PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Sathanuru_PS,3,91,0
Tavarekere PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Tavarekere_PS,13,122,0
Chikkanayakanahalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chikkanayakanahalli_PS,2,106,23
Handanakere PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Handanakere_PS,3,94,0
Huliyar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Huliyar_PS,8,131,17
Honnavalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Honnavalli_PS,4,117,0
K.B. Cross PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\K.B._Cross_PS,1,56,0
Nonavinakere PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Nonavinakere_PS,4,106,0
Tiptur Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Tiptur_Rural_PS,2,78,6
Tiptur Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Tiptur_Town_PS,1,15,31
Kodigenahalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kodigenahalli_PS,2,114,0
Madhugiri PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Madhugiri_PS,5,91,23
Medigeshi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Medigeshi_PS,2,99,0
Koratagere PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Koratagere_PS,5,215,15
Y. N. Hosakote PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Y._N._Hosakote_PS,2,50,0
Thirumani PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Thirumani_PS,2,35,0
Badavanahalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Badavanahalli_PS,1,107,0
Pavagada PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Pavagada_PS,4,58,23
kunigal PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\kunigal_PS,7,196,23
Amruthur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Amruthur_PS,7,165,0
Huliyurdurga PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Huliyurdurga_PS,7,107,0
Turuvkere PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Turuvkere_PS,6,243,14
Dandinashivara PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Dandinashivara_PS,2,93,0
Kyathasadra PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kyathasadra_PS,4,127,5
Tumakur Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Tumakur_Town_PS,3,16,12
Tumakur Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Tumakur_Rural_PS,6,203,29
Bellavi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Bellavi_PS,1,78,0
Thilak Park PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Thilak_Park_PS,2,8,6
Patanayakanahalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Patanayakanahalli_PS,3,60,0
Tavarekere PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Tavarekere_PS_2,4,70,0
Kallambella PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kallambella_PS,6,111,0
Chelur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chelur_PS_2,2,108,0
Gubbi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Gubbi_PS,9,348,19
Sira PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Sira_PS,4,110,31
Challakere PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Challakere_PS,5,90,31
Parasurampura PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Parasurampura_PS,3,90,0
Thalak PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Thalak_PS,2,61,0
Rampura PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Rampura_PS,4,67,0
Bharamasagara PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Bharamasagara_PS,4,112,0
