police_station,folder,hobli_count,village_count,ward_count
Ashokanagara  PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Ashokanagara_PS,2,8,5
S.J. Park PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\S.J._Park_PS,1,5,3
Vidhana Soudha PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Vidhana_Soudha_PS,1,2,2
Banashankari PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Banashankari_PS,4,8,9
Basavanagudi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Basavanagudi_PS,2,9,5
Jayanagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Jayanagar_PS_2,5,12,9
Jayaprakash Nagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Jayaprakash_Nagar_PS,4,8,6
Siddapura PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Siddapura_PS_3,3,11,9
Kumaraswamy Layout PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kumaraswamy_Layout_PS,3,7,6
Subramanyapura PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Subramanyapura_PS,3,16,6
V.V. Puram PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\V.V._Puram_PS_2,1,9,6
C.K.Acchukattu PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\C.K.Acchukattu_PS,4,9,9
K.G.Nagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\K.G.Nagar_PS,1,6,6
Girinagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Girinagar_PS,3,8,7
Parappana Agrahara,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Parappana_Agrahara,4,22,8
Electronic City PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Electronic_City_PS,2,17,5
Adugodi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Adugodi_PS,2,6,8
H.S.R.Layout PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\H.S.R.Layout_PS,2,11,6
Bommanahalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Bommanahalli_PS,3,8,5
Madiwala PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Madiwala_PS,1,7,7
Tilak Nagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Tilak_Nagar_PS,3,3,6
Chamarajpet PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chamarajpet_PS,1,8,7
City Market PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\City_Market_PS,1,2,4
Cottonpet PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Cottonpet_PS,1,6,7
Kalasipalya PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kalasipalya_PS,1,5,5
Upparpet PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Upparpet_PS,1,4,4
Annapoorneshwari Nagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Annapoorneshwari_Nagar_PS,1,8,5
Byatarayanapura PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Byatarayanapura_PS,3,11,10
Chandra Layout PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chandra_Layout_PS,3,6,8
Jagajeevanram Nagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Jagajeevanram_Nagar_PS,1,5,11
Jnanabharathi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Jnanabharathi_PS,3,14,7
Kengeri PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kengeri_PS,4,18,5
Rajarajeshwari Nagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Rajarajeshwari_Nagar_PS,2,13,3
Kamakshipalya PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kamakshipalya_PS,2,9,11
Kempapura Agrahara PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kempapura_Agrahara_PS,1,5,11
Magadi Road PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Magadi_Road_PS,3,8,12
Govindarajanagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Govindarajanagar_PS,2,7,10
Byadarahalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Byadarahalli_PS,2,14,5
Shankarapuram PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Shankarapuram_PS,1,4,3
Hanumathanagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hanumathanagar_PS,3,12,10
Vijayanagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Vijayanagar_PS_2,1,1,9
Begur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Begur_PS_2,2,7,7
Suddaguntepalya  PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Suddaguntepalya_PS,2,5,7
Chikkabanvara PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chikkabanvara_PS,4,18,26
Kumbalagudu PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kumbalagudu_PS,4,29,2
Rajanukunte PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Rajanukunte_PS,6,75,2
Varthur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Varthur_PS,3,27,4
Soladevanahalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Soladevanahalli_PS,8,52,6
Chikkajala PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chikkajala_PS,5,49,2
Bagalur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Bagalur_PS,5,45,2
Devanahalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Devanahalli_PS,1,54,23
Kothanur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kothanur_PS,3,21,5
Puttenahalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Puttenahalli_PS,2,13,9
Thalaghattapura PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Thalaghattapura_PS,6,31,6
Hulimavu PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hulimavu_PS,2,16,5
Mico layout Bangalore PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Mico_layout_Bangalore_PS,3,8,6
Konanakunte PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Konanakunte_PS,2,14,7
Hebbagodi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hebbagodi_PS,1,19,53
Devarajeevanahalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Devarajeevanahalli_PS,3,10,7
Mahalakshmi Layout PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Mahalakshmi_Layout_PS,4,5,7
Halasurgate PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Halasurgate_PS,1,2,3
Wilsongarden PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Wilsongarden_PS,2,8,5
Vyalikaval PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Vyalikaval_PS,1,12,5
Koramangala PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Koramangala_PS,1,9,9
Basaveshwara Nagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Basaveshwara_Nagar_PS,3,5,12
Bandepalya PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Bandepalya_PS,4,7,6
Madhanayakanahally PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Madhanayakanahally_PS,7,116,7
Srirangapatna Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Srirangapatna_Rural_PS,9,49,3
Kyathanalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kyathanalli_PS,5,65,1
